,hometown,longitude,latitude
199,"Charleston, WV, USA",-81.6326234,38.3498195
200,"Charlestown, MO, USA",-71.0602131,42.3782065
201,"Charlestown, WV, USA",-81.597762,38.368326
202,"Charlotte, NC, USA",-80.8431267,35.2270869
203,"Charlotte, SC, USA",-80.8431267,35.2270869
204,"Charlotte, TN, USA",-87.3397319,36.1772797
205,"Chatsworth, CA, USA",-118.61481,34.2506356
206,"Chattanooga, TN, USA",-85.3096801,35.0456297
207,"Chelyan, WV, USA",-81.4909497,38.195381
208,"Cherry Hill, NJ, USA",-75.0246312,39.926813
209,"Cherry Valley, AR, USA",-90.7531682,35.4020287
210,"Chesapeake, VA, USA",-76.2874927,36.7682088
211,"Chester, PA, USA",-75.3557457,39.849557
212,"Chestertown, MD, USA",-76.0690036,39.2188663
213,"Cheverly, MD, USA",-76.915807,38.928167
214,"Cheyenne, WY, USA",-104.8202462,41.1399814
215,"Chiacgo, IL, USA",-87.6297982,41.8781136
216,"Chicago, IL, USA",-87.6297982,41.8781136
217,"Chillicothe, OH, USA",-82.9824019,39.3331197
218,"Chipley, FL, USA",-85.538541,30.7818584
219,"Cholet, France",-0.879787,47.059407
220,"Christopher, IL, USA",-89.053408,37.9725501
221,"Chula Vista, CA, USA",-117.0841955,32.6400541
222,"Cincinnati, OH, USA",-84.5120196,39.1031182
223,"Clairton, PA, USA",-79.881715,40.292292
224,"Claremont, CA, USA",-117.7197785,34.0966764
225,"Clarksburg, WV, USA",-80.3445341,39.2806451
226,"Clarksdale, MS, USA",-90.5709323,34.2001086
227,"Clarksville, TN, USA",-87.3594528,36.5297706
228,"Clarksville, VA, USA",-78.5569449,36.6240297
229,"Clarkton, MO, USA",-89.9670353,36.4517276
230,"Clayton, AL, USA",-85.4496627,31.8782162
231,"Clearwater, FL, USA",-82.8001026,27.9658533
232,"Clemenceau, AZ, USA",-112.0265462,34.7319656
233,"Cleveland Heights, OH, USA",-81.556235,41.5200518
234,"Cleveland, OH, USA",-81.6954088,41.4994954
235,"Cleveland, TN, USA",-84.8766115,35.1595182
236,"Clinton, MD, USA",-76.8983059,38.7651145
237,"Clovis, NM, USA",-103.2052272,34.4047987
238,"Coatesville, PA, USA",-75.8238355,39.9831616
239,"Cocoa, FL, USA",-80.7419984,28.3861159
240,"Coeur d'Alene, ID, USA",-116.7804664,47.6776832
241,"Cold Spring, NY, USA",-73.954583,41.4200937
242,"College Park, GA, USA",-84.4493725,33.6534427
243,"Collins, MS, USA",-89.5553465,31.645443
244,"Collinston, LA, USA",-91.8717943,32.6909704
245,"Colon, Panama",-79.900015,9.358577
246,"Colorado Springs, CO, USA",-104.8213634,38.8338816
247,"Colton, CA, USA",-117.3136547,34.0739016
248,"Columbia, KY, USA",-85.3063504,37.102841
249,"Columbia, LA, USA",-92.0779129,32.1051567
250,"Columbia, MO, USA",-92.3340724,38.9517053
251,"Columbia, SC, USA",-81.0348144,34.0007104
252,"Columbus, GA, USA",-84.9877094,32.4609764
253,"Columbus, MS, USA",-88.4272627,33.4956744
254,"Columbus, OH, USA",-82.9987942,39.9611755
255,"Compton, CA, USA",-118.2200712,33.8958492
256,"Concord, NH, USA",-71.5375718,43.2081366
257,"Conway, AR, USA",-92.4421011,35.0886963
258,"Cookeville, TN, USA",-85.5016423,36.162839
259,"Coos Bay, OR, USA",-124.2178903,43.3665007
260,"Copaigue, NY, USA",-73.3998445,40.6814892
261,"Copenhagen, Denmark",12.5683371,55.6760968
262,"Coral Gables, FL, USA",-80.2683838,25.72149
263,"Corbin, KY, USA",-84.0968761,36.9486986
264,"Cormeille-en-Parisis, France",NA,NA
265,"Cornwall, NY, USA",-74.0353681,41.4343383
266,"Corpus Christi, TX, USA",-97.396381,27.8005828
267,"Corsicana, TX, USA",-96.4688727,32.0954304
268,"Cortez, CO, USA",-108.5859265,37.3488827
269,"Cortland, NY, USA",-76.1804843,42.6011813
270,"Corydon, KY, USA",-87.7039056,37.7433757
271,"Cottage Grove, MN, USA",-92.9438218,44.8277446
272,"Cotton Plant, AR, USA",-91.2512373,35.0081476
273,"Covina, CA, USA",-117.8903397,34.0900091
274,"Covington, KY, USA",-84.5085536,39.0836712
275,"Covington, TN, USA",-89.6464672,35.5642474
276,"Covington, VA, USA",-79.9939463,37.7934585
277,"Crawford, MS, USA",-88.6147687,33.301512
278,"Crenshaw, AL, USA",-86.3376761,31.6671872
279,"Crockett, TX, USA",-95.4566136,31.3182359
280,"Crossett, AR, USA",-91.9612427,33.1281779
281,"Crossnore, NC, USA",-81.9295579,36.0217938
282,"Crystal City, MO, USA",-90.3790094,38.2211656
283,"Cucq-Trepied-Stella-Plage, France",1.620322,50.4946259
284,"Culpepper, VA, USA",-77.9966639,38.4731815
285,"Cupertino, CA, USA",-122.0321823,37.3229978
286,"Curitiba, Brazil",-49.2732515,-25.4283563
287,"Curtiba, Brazil",-49.2732515,-25.4283563
288,"Dakar, Senegal",-17.3660286,14.7645042
289,"Dallas, TX, USA",-96.8004511,32.7801399
290,"Dalton, GA, USA",-84.9702228,34.7698021
291,"Danville, CA, USA",-121.9999606,37.8215929
292,"Danville, IL, USA",-87.6300207,40.124481
293,"Danville, VA, USA",-79.3950228,36.5859718
294,"Dar es Salaam, United Republic of Tanzania",39.269661,-6.822921
295,"Darby, PA, USA",-75.2590721,39.9184461
296,"Dawson, MN, USA",-96.0545938,44.9309043
297,"Dayton, OH, USA",-84.1916069,39.7589478
298,"Daytona Beach, FL, USA",-81.0228331,29.2108147
299,"Daytona, FL, USA",-81.010845,29.229602
300,"Decatur, IL, USA",-88.9548001,39.8403147
301,"Deer Lodge, MT, USA",-112.7383721,46.3990941
302,"Dekalb, IL, USA",-88.7503647,41.9294736
303,"Del Rio, TX, USA",-100.8958674,29.3708857
304,"Delcambre, LA, USA",-91.9887327,29.948261
305,"Delmenhorst, Germany",8.6355932,53.0521886
306,"Delphi, IN, USA",-86.6750059,40.5875371
307,"Demopolis, AL, USA",-87.836402,32.5176361
308,"Den Haag, Netherlands",4.3006999,52.0704978
309,"Denhelder, Netherlands",4.7607972,52.9562808
310,"Denton, TX, USA",-97.1330683,33.2148412
311,"Denver, CO, USA",-104.9847179,39.737567
312,"DeQuincy, LA, USA",-93.4332189,30.4504779
313,"DeRidder, LA, USA",-93.2890527,30.8463055
314,"Des Moines, IA, USA",-93.6091064,41.6005448
315,"Detroit, MI, USA",-83.0457538,42.331427
316,"Devils Lake, ND, USA",-98.8651202,48.112779
317,"Didam, Netherlands",6.1298591,51.9411937
318,"Dnepropetrovsk, Ukraine",35.046183,48.464717
319,"Dobbs Ferry, NY, USA",-73.872635,41.0145418
320,"Donetsk, Ukraine",37.80285,48.015883
321,"Dothan, AL, USA",-85.3904888,31.2232313
322,"Dover, DE, USA",-75.5243682,39.158168
